Mode,Time,Freq,North-Vision,East-Vision,Down-Vision,Yaw-Vision,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,xGyro,yGyro,zGyro
STABILIZE,0.5689525604248047,1.7578632905620397,0.0,0.0,0.0,0.0,300,0,50,0.857259657410092,-2.292712650586629,124.92965139162591,-0.0,6.733033710860236,0.0,0.505938347707429,3,0,0
STABILIZE,0.5935313701629639,40.63460569657043,0.0,0.0,0.0,0.4949881830806144,300,0,50,0.8582599599583816,-2.2928437048413284,124.93052565583967,-0.0,6.031095886230469,-0.2474940915403072,0.5050388698577881,3,0,0
STABILIZE,0.6439023017883301,19.855163435820966,0.0,0.0,0.0,0.9754891075423154,300,0,50,0.8583989649801619,-2.2931719808083124,124.93170044837692,-0.0,6.060489177703857,-0.4877445537711577,0.5050756114721299,3,0,0
STABILIZE,0.682084321975708,26.196553597861456,0.0,0.0,0.0,1.4257443421981209,300,0,50,0.8592111705220116,-2.292034327424682,124.93168678799857,-0.0,6.045709133148193,-0.7128721710990604,0.5050571364164352,4,0,0
STABILIZE,0.7185347080230713,27.44244962051819,0.0,0.0,0.0,1.828375647888516,300,0,50,0.859404336809476,-2.292533358120916,124.93221954275383,-0.0,6.043824291229248,-0.914187823944258,0.5050547803640366,4,-1,0
STABILIZE,0.754431962966919,27.870240674046805,0.0,0.0,0.0,2.6031256161125484,300,0,50,0.8587574965507346,-2.2929286553191304,124.93212392010545,-0.0,6.043174839019775,-1.3015628080562742,0.5050539685487747,3,0,0
STABILIZE,0.7945537567138672,24.9248505449316,0.0,0.0,0.0,3.2197064319174986,300,0,50,0.859236356844576,-2.292949572773464,124.93204195783541,-0.0,6.048209953308105,-1.6098532159587493,0.5050602624416352,4,0,0
STABILIZE,0.8419754505157471,21.091318690160108,0.0,0.0,0.0,3.646183916208398,300,0,50,0.8593626619833684,-2.292536346328678,124.93232882578054,-0.0,6.056895732879639,-1.823091958104199,0.5050711196660995,3,0,0
STABILIZE,0.8886702060699463,21.41994658168763,0.0,0.0,0.0,3.8742786634863435,300,0,50,0.8592548730605291,-2.292322049143469,124.93353093907447,-0.0,6.055969905853272,-1.9371393317431718,0.5050699623823166,3,0,0
STABILIZE,0.9296367168426514,24.415013504703364,0.0,0.0,0.0,3.9214103935940363,300,0,50,0.8601444518390704,-2.2922597236672924,124.93303916545423,-0.0,6.049148368835449,-1.9607051967970182,0.5050614354610443,4,0,0
