Mode,Time,Freq,North-Vision,East-Vision,Down-Vision,Yaw-Vision,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control
GUIDED_NOGPS,0.003829479217529297,264.6749542500158,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5471821841482098
GUIDED_NOGPS,0.006728172302246094,344.4447729325778,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030038977861404
GUIDED_NOGPS,0.00788426399230957,870.0070524787388,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030063952445983
GUIDED_NOGPS,0.008814573287963867,1081.5636926250645,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030072346687317
GUIDED_NOGPS,0.010952949523925781,469.3715308863026,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030084030389785
GUIDED_NOGPS,0.012768983840942383,553.2652684342435,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030102087020873
GUIDED_NOGPS,0.014858484268188477,480.8878697546434,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030120718717576
GUIDED_NOGPS,0.016008853912353516,873.6313268069152,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030134994506836
GUIDED_NOGPS,0.016932249069213867,1095.6907001044933,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030145221233367
GUIDED_NOGPS,0.018270015716552734,752.206599713056,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030153548955917
GUIDED_NOGPS,0.01941537857055664,877.1024675867837,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030168073654174
GUIDED_NOGPS,0.021343469619750977,520.9668364178362,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030175680398941
GUIDED_NOGPS,0.027727127075195312,156.84918290265884,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030214190483093
GUIDED_NOGPS,0.030285358428955078,392.1376215407629,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030261412382125
GUIDED_NOGPS,0.03157639503479004,780.6260934301135,0.0,0.0,0.0,0.0,300,0,30,1.016549113725751,-1.3903154212422433,85.6053563396544,-0.0,10.0,0.0,0.5030274550914764
GUIDED_NOGPS,0.04463481903076172,76.65729690212922,0.0,0.0,0.0,0.0,300,0,30,1.0179255035652144,-1.357958253822954,85.84937167794229,-0.0,10.0,0.0,0.5030391726970672
GUIDED_NOGPS,0.046179771423339844,650.7841737781225,0.0,0.0,0.0,0.0,300,0,30,1.0179255035652144,-1.357958253822954,85.84937167794229,-0.0,10.0,0.0,0.5030406019926071
