Mode,Time,Freq,time2delay,actualDelay,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,North-Pos,East-Pos,Down-Pos,Yaw-Ang,North-Vel,East-Vel,Down-Vel,Yaw-Vel,North-Acc,East-Acc,Down-Acc,North-Raw,East-Raw,Down-Raw,Yaw-Raw,North-Dif,East-Dif,Down-Dif,Yaw-Dif,Landing-State,Q-Size
GUIDED_NOGPS,0.0344233512878418,29.05829944367851,0.03331139882405599,0.03343844413757324,0,0,0.5,0.613991691227804,1.2146667547299044,-4.759345823103877,0,0,0.0,0.5,0.03130482272297372,0.17573311044585635,0.8495393047137807,-0.01934371520491187,0.171299884095788,0.05721820052713156,1.742614060640335,-0.09055819651274628,18.59031766653061,7.684402167797089,29.175931215286255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
GUIDED_NOGPS,0.06822347640991211,29.585271919305917,0.032312901814778645,0.032964229583740234,0,0,0.5,0.6156440100375653,1.2426964637014617,-4.7585057098359655,0,0,2.0928640278329307,0.5,0.03667281534817346,0.17267140976465703,0.8582640073500059,-0.027513838124946524,0.481196166947484,0.22199044469743967,2.0716283470392227,-0.45526850028302135,2.732330933213234,-2.036755718290806,26.291877031326294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
GUIDED_NOGPS,0.10270977020263672,28.997428168468794,0.032505305608113606,0.03368115425109863,0,0,0.5,0.6290518848217118,1.3568320196618424,-4.750072133758293,0,0,4.093032540812346,0.5,0.023615870117504743,0.15760958582057297,0.8783606691861114,-0.031492462346611086,-0.6217861082404852,-0.5432981066405773,2.424905262887478,-0.16935083189119027,-19.14360523223877,-11.636584252119064,34.42942202091217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
GUIDED_NOGPS,0.13631439208984375,29.75781139143514,0.03251460393269857,0.03275728225708008,0,0,0.5,0.6340315196134743,1.4145752926787765,-4.734818613794362,0,0,5.911915622135862,0.5,-0.0007577364991979176,0.147114304798699,0.9298126513768444,-0.044621428384258,-0.521320104598999,0.6488016806542873,3.1909961253404617,-0.5125429982073103,11.260076612234116,11.897005140781403,30.025044083595276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
GUIDED_NOGPS,0.1698746681213379,29.797979510933658,0.03247788747151693,0.03262686729431152,0,0,0.5,0.6377547731239246,1.4969370220636693,-4.654155787243804,0,0,7.468952709129846,0.5,-0.00875638653823573,0.14876187303242802,0.9516411547447481,-0.061120217103095974,-0.33179745078086853,0.4501630086451769,2.617822587490082,-0.9431793283831799,-0.1157478429377079,1.5452508814632893,12.734340131282806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
GUIDED_NOGPS,0.20335984230041504,29.863750284802915,0.03237417538960775,0.03261113166809082,0,0,0.5,0.638859609583027,1.5165367834955499,-4.614853171212258,0,0,8.695180719384028,0.5,-0.01655494918438944,0.1505929354116079,0.9728613556357111,-0.0775837660282657,-0.33179745078086853,0.4501630086451769,2.617822587490082,-0.9431793283831799,-0.1157478429377079,1.5452508814632893,12.734340131282806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
GUIDED_NOGPS,0.23670172691345215,29.99144797997855,0.03244927724202474,0.03254532814025879,0,0,0.5,0.6465993344905622,1.508610882572279,-4.566848894178116,0,0,9.536288510260055,0.5,-0.01843981785135592,0.15844263278582288,0.9942342434530325,-0.10802773142367246,0.0039622565964236856,0.795395951718092,2.6642443612217903,-1.7722164840602206,2.9278548434376717,9.685584902763367,13.655893504619598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
GUIDED_NOGPS,0.27022647857666016,29.82828290011734,0.03252414067586263,0.032671213150024414,0,0,0.5,0.6503686384170572,1.488328208945103,-4.555540662233513,0,0,9.95502238601579,0.5,-0.028219369425705604,0.17174145683111017,1.003716206634108,-0.13284175752959568,-0.47607943415641785,1.103504840284586,2.0045673474669456,-1.441452940836423,-1.5559844672679901,-7.641225308179855,13.145026564598083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
GUIDED_NOGPS,0.3039124011993408,29.70891061056807,0.03247097333272298,0.032854318618774414,0,0,0.5,0.6512508533978996,1.4619114918347267,-4.559683598851949,0,0,9.932836109684285,0.5,-0.04478362160314201,0.1732837191321347,0.9950369633492834,-0.14438063779503385,-0.9413528256118298,0.45359497889876366,1.3539011590182781,-0.7874438649526018,-0.8206058293581009,-10.041038691997528,1.7871394753456116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
GUIDED_NOGPS,0.3374326229095459,29.812805640850677,0.03248647054036458,0.03261280059814453,0,0,0.5,0.6532738166918398,1.38085827728442,-4.595475070763285,0,0,9.470712338657458,0.5,-0.05920104186387737,0.1574720516949363,0.9981825086262753,-0.14287623815879458,0.0880613166373223,-0.2546257572248578,1.5172094106674194,0.45158297289556476,16.687001287937164,-15.215331315994263,27.22456455230713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
