D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.002,8e-05,0.0,0.01054551804985552,0.0003255746623330024,8.436414439884417e-07,0.0,0.00032641830377699084,0.05,0.004,0.04,-0.0056415037321286094,-0.004354292183548321,-2.256601492851444e-05,-0.05377250129034292,-0.05814935948881975,0.08,0.002,0.06,-0.004649421036607117,-0.005741713880269957,-9.298842073214233e-06,-0.06647456349265893,-0.0722255762150021,0.5,0,0,-0.0050254659432812715,-0.03878814605917392,-0.0,-0.0,-0.03878814605917392,-0.07177142350337445,0,0.07177142350337445,-0.08708584367096642,0,0.08708584367096642,0.16278733116650118,0.5,0.3372126688334988,-0.07757629211834784,0.0,0.07757629211834784,-0.05824709682421232,0.0721467780299294,0.03878814605917392,0.500326418303777,0.06478095054626465,0.06561875343322754,GUIDED_NOGPS
0.002,8e-05,0.0,0.014578099319881174,0.00023058029611666364,1.166247945590494e-06,-0.0,0.00023174654406225414,0.05,0.004,0.04,-0.008929394241636388,-0.0046999844300512315,-3.5717576966545555e-05,-0.007906580448246594,-0.012642282455264373,0.08,0.002,0.06,-0.007353736825852194,-0.006185238622339105,-1.4707473651704389e-05,-0.009510167884420625,-0.015710113980411434,0.5,0,0,0.06527102533522332,1.00487657219968,0.0,0.0,1.00487657219968,-0.0773154827792388,0,0.0773154827792388,-0.09399968860102462,0,0.09399968860102462,0.11529014805833182,0.5,0.3847098519416682,2.00975314439936,2.0928640278329307,0.08311088343357068,-0.012665057587149888,0.01569175908782636,-1.00487657219968,0.5002317465440622,0.03497767448425293,0.10017132759094238,GUIDED_NOGPS
0.002,8e-05,0.0,0.019454014567640326,0.00023391633013459146,1.5563211654112263e-06,0.0,0.0002354726513000027,0.05,0.004,0.04,-0.0127397812152059,-0.00456997144105231,-5.09591248608236e-05,0.002494888422880879,-0.0021260421430322547,0.08,0.002,0.06,-0.010538241286075969,-0.006110915049026946,-2.107648257215194e-05,0.0013370949320483433,-0.004794896599550754,0.5,0,0,0.23257111745091175,2.0065065526347103,0.0,0.0,2.0065065526347103,-0.07638643811283682,0,0.07638643811283682,-0.0913994288210462,0,0.0913994288210462,0.11695816506729573,0.5,0.3830418349327043,4.013013105269421,4.093032540812346,0.08001943554292579,-0.0021327366325677344,0.004791922688278287,-2.0065065526347103,0.5002354726513,0.041689395904541016,0.14200186729431152,GUIDED_NOGPS
0.002,8e-05,0.0,0.024916038429181848,0.0002108180670711891,1.9932830743345478e-06,-0.0,0.00021281135014552367,0.05,0.004,0.04,-0.01747610038529585,-0.004570199974322242,-6.99044015411834e-05,-3.5282850056984e-06,-0.004643632660869124,0.08,0.002,0.06,-0.014557429451543213,-0.006205153999455934,-2.9114858903086426e-05,-0.0013640049372639926,-0.007598273795623013,0.5,0,0,0.5348066870510981,2.9163511638929682,0.0,0.0,2.9163511638929682,-0.07756442499319918,0,0.07756442499319918,-0.09140399948644484,0,0.09140399948644484,0.10540903353559455,0.5,0.39459096646440545,5.8327023277859364,5.911915622135862,0.07921329434992573,-0.004654133082339506,0.0075918465615563355,-2.9163511638929682,0.5002128113501455,0.05181741714477539,0.19380497932434082,GUIDED_NOGPS
0.002,8e-05,0.0,0.02608948413643089,0.00016776439791043828,2.0871587309144713e-06,-0.0,0.00016985155664135275,0.05,0.004,0.04,-0.01877401213701322,-0.00463897439443986,-7.509604854805288e-05,-0.003932998045464056,-0.008647068488451969,0.08,0.002,0.06,-0.01566058343845328,-0.0063085991375036645,-3.132116687690656e-05,-0.005545978137547655,-0.011885898441928226,0.5,0,0,0.6381580267818513,3.6939662346660156,0.0,0.0,3.6939662346660156,-0.0788574892187958,0,0.0788574892187958,-0.0927794878887972,0,0.0927794878887972,0.08388219895521914,0.5,0.41611780104478086,7.387932469332031,7.468952709129846,0.08102023979781488,-0.008663867329298492,0.011873659002856914,-3.6939662346660156,0.5001698515566414,0.01398921012878418,0.20778822898864746,GUIDED_NOGPS
0.002,8e-05,0.0,0.033406449125778385,0.00018557173709206554,2.672515930062271e-06,0.0,0.0001882442530221278,0.05,0.004,0.04,-0.025991738652899193,-0.00457637165600223,-0.00010396695461159678,0.0006350883971977096,-0.0040452502134161175,0.08,0.002,0.06,-0.02184515146817563,-0.006274082404988937,-4.369030293635126e-05,0.0003282780166106523,-0.0059894946913146355,0.5,0,0,1.3176688486015378,4.308412154544874,0.0,0.0,4.308412154544874,-0.0784260300623617,0,0.0784260300623617,-0.0915274331200446,0,0.0915274331200446,0.09278586854603277,0.5,0.40721413145396723,8.616824309089749,8.695180719384028,0.078356410294279,-0.004053437525288689,0.0059839568994947525,-4.308412154544874,0.5001882442530221,0.07885861396789551,0.2867119312286377,GUIDED_NOGPS
0.002,8e-05,0.0,0.03417859610639458,3.06436410457952e-05,2.7342876885115664e-06,-0.0,3.337792873430677e-05,0.05,0.004,0.04,-0.031185423703517304,-0.005152950940410495,-0.00012474169481406923,-0.009152914701161342,-0.014430607336385907,0.08,0.002,0.06,-0.026338582896937038,-0.007133103060610271,-5.2677165793874076e-05,-0.012784250254130793,-0.019970030480534938,0.5,0,0,1.7938903073309584,4.72486450311687,0.0,0.0,4.72486450311687,-0.08916378825762838,0,0.08916378825762838,-0.10305901880820989,0,0.10305901880820989,0.0153218205228976,0.5,0.4846781794771024,9.44972900623374,9.536288510260055,0.08655950402631571,-0.014460760547469314,0.019948206683288706,-4.72486450311687,0.5000333779287343,0.05039525032043457,0.3370330333709717,GUIDED_NOGPS
0.002,8e-05,0.0,0.034435328711766494,1.731032277401623e-05,2.75482629694132e-06,-0.0,2.006514907095755e-05,0.05,0.004,0.04,-0.03422038747364747,-0.005115848295962662,-0.0001368815498945899,0.0010006656540273112,-0.004252064191829941,0.08,0.002,0.06,-0.02897194197736736,-0.007102221487777144,-5.7943883954734724e-05,0.0007808269903081392,-0.006379338381423739,0.5,0,0,2.0865616190255425,4.933376951467454,0.0,0.0,4.933376951467454,-0.0887777685972143,0,0.0887777685972143,-0.10231696591925322,0,0.10231696591925322,0.008655161387008115,0.5,0.4913448386129919,9.866753902934908,9.95502238601579,0.08826848308088163,-0.004261886995484126,0.0063727801871609965,-4.933376951467454,0.5000200651490709,0.029662370681762695,0.3666799068450928,GUIDED_NOGPS
0.002,8e-05,0.0,0.03526816250016964,2.6434681292497374e-05,2.8214530000135714e-06,0.0,2.9256134292510945e-05,0.05,0.004,0.04,-0.04050665807029101,-0.004988257022427289,-0.00016202663228116404,0.0016199317071793667,-0.0035303519475290857,0.08,0.002,0.06,-0.034440374710631376,-0.006942863197251523,-6.888074942126275e-05,0.001896800574145358,-0.005114943372527428,0.5,0,0,2.70686945936321,4.922242676418046,0.0,-0.0,4.922242676418046,-0.08678578996564404,0,0.08678578996564404,-0.09976514044854577,0,0.09976514044854577,0.013217340646248688,0.5,0.4867826593537513,9.844485352836092,9.932836109684285,0.08835075684819309,-0.003538235049201475,0.005109493449862413,-4.922242676418046,0.5000292561342925,0.06301069259643555,0.4298090934753418,GUIDED_NOGPS
0.002,8e-05,0.0,0.03431436407987194,-6.110696955662442e-05,2.7451491263897557e-06,-0.0,-5.836182043023467e-05,0.05,0.004,0.04,-0.04376476738703469,-0.0052184293503094205,-0.00017505906954813877,-0.0058985769459675985,-0.011292065365825159,0.08,0.002,0.06,-0.03725906844028223,-0.007223406047305596,-7.451813688056445e-05,-0.006740073308243776,-0.014037997492429937,0.5,0,0,2.999631606774374,4.689095528068257,0.0,-0.0,4.689095528068257,-0.09029257559131995,0,0.09029257559131995,-0.1043685870061884,0,0.1043685870061884,-0.030553484778312212,0.5,0.5305534847783122,9.378191056136513,9.470712338657458,0.0925212825209446,-0.011314719205985098,0.014019744759204755,-4.689095528068257,0.4,0.031217336654663086,0.4610023498535156,GUIDED_NOGPS
0.002,8e-05,0.0,0.032133832282505166,-8.968022199713333e-05,2.5707065826004135e-06,-0.0,-8.710951541453292e-05,0.05,0.004,0.04,-0.048827947448544684,-0.005205921698505041,-0.00019531178979417875,0.00020576429875210762,-0.005195469189547112,0.08,0.002,0.06,-0.041609033715212636,-0.0071561598323248415,-8.321806743042527e-05,0.001037130396680709,-0.006202247503074558,0.5,0,0,3.4128270555916114,4.248442928335582,0.0,-0.0,4.248442928335582,-0.08945199790406051,0,0.08945199790406051,-0.1041184339701008,0,0.1041184339701008,-0.04484011099856666,0.5,0.5448401109985667,8.496885856671163,8.589119101584899,0.09223324491373638,-0.005205446669094061,0.006193875940325691,-4.248442928335582,0.4,0.048629045486450195,0.5095999240875244,GUIDED_NOGPS
0.002,8e-05,0.0,0.028273481798633197,-0.00014437152847626767,2.261878543890656e-06,-0.0,-0.00014210964993237703,0.05,0.004,0.04,-0.054475969601712075,-0.005280696626687698,-0.0002179038784068483,-0.0011185896947476692,-0.006617190199842216,0.08,0.002,0.06,-0.04642446779127005,-0.007203610975134143,-9.284893558254011e-05,-0.0006654765587942148,-0.007961936469510898,0.5,0,0,3.799664526249859,3.616790570192489,0.0,-0.0,3.616790570192489,-0.09004513718917678,0,0.09004513718917678,-0.10561393253375395,0,0.10561393253375395,-0.07218576423813383,0.5,0.5721857642381338,7.233581140384978,7.327103244279351,0.09352210389437207,-0.006630177398164168,0.007951124835788238,-3.616790570192489,0.4,0.05347800254821777,0.5632884502410889,GUIDED_NOGPS
0.002,8e-05,0.0,0.022767641024566708,-0.00018839110451073315,1.8214112819653368e-06,-0.0,-0.0001865696932287678,0.05,0.004,0.04,-0.060618719337623514,-0.005254598956676054,-0.00024247487735049405,0.00035718932532942496,-0.005139884508697123,0.08,0.002,0.06,-0.05181522347557839,-0.007378131400369451,-0.00010363044695115679,-0.0022393102855851068,-0.009721072132905715,0.5,0,0,4.129739238086406,2.8235078930561754,0.0,-0.0,2.8235078930561754,-0.09222664250461814,0,0.09222664250461814,-0.10509197913352109,0,0.10509197913352109,-0.09419555225536658,0.5,0.5941955522553666,5.647015786112351,5.740560997021648,0.09354521090929724,-0.005155748972763461,0.009712667435146188,-2.8235078930561754,0.4,0.058451175689697266,0.6215274333953857,GUIDED_NOGPS
0.002,8e-05,0.0,0.018515904878035866,-0.0002069978749676602,1.4812723902428695e-06,-0.0,-0.00020551660257741734,0.05,0.004,0.04,-0.06491559480982194,-0.005229887633499253,-0.0002596623792392878,0.00048123319123748355,-0.005008316821501057,0.08,0.002,0.06,-0.05548256331432322,-0.007141850079514702,-0.00011096512662864644,0.00431380231738324,-0.0029390128887601084,0.5,0,0,4.286131705686072,1.9035111386494388,0.0,-0.0,1.9035111386494388,-0.08927312599393378,0,0.08927312599393378,-0.10459775266998506,0,0.10459775266998506,-0.1034989374838301,0.5,0.6034989374838301,3.8070222772988775,3.8997622619605226,0.09273998466164483,-0.005013067398120164,0.002930902490144156,-1.9035111386494388,0.4,0.04107999801635742,0.6626701354980469,GUIDED_NOGPS
0.002,8e-05,0.0,0.01480166663753904,-0.00018110385674425044,1.1841333310031233e-06,0.0,-0.0001799197234132473,0.05,0.004,0.04,-0.06907320033205099,-0.005068053973270147,-0.00027629280132820396,0.0031563618831956623,-0.002187984891402689,0.08,0.002,0.06,-0.05893190003493163,-0.006727497191759984,-0.00011786380006986326,0.007576342156177166,0.0007309811643473191,0.5,0,0,4.359831786386016,0.8983920788651945,0.0,-0.0,0.8983920788651945,-0.0840937148969998,0,0.0840937148969998,-0.10136107946540293,0,0.10136107946540293,-0.09055192837212522,0.5,0.5905519283721252,1.796784157730389,1.8862382729548939,0.08945411522450505,-0.0021868409670796098,-0.0007343963046879497,-0.8983920788651945,0.4,0.041017770767211914,0.7034730911254883,GUIDED_NOGPS
0.002,8e-05,0.0,0.012758095167172035,-0.0001562990179058199,1.0206476133737629e-06,0.0,-0.00015527837029244613,0.05,0.004,0.04,-0.07164431556396389,-0.004916182177843166,-0.0002865772622558556,0.004646260298117715,-0.0005564991419813071,0.08,0.002,0.06,-0.061006332259960196,-0.006346373967061121,-0.0001220126645199204,0.010931080693528423,0.004462694061947382,0.5,0,0,4.352059722957831,-0.148608196305067,0.0,-0.0,-0.148608196305067,-0.07932967458826401,0,0.07932967458826401,-0.09832364355686332,0,0.09832364355686332,-0.07814950895290995,0.5,0.57814950895291,-0.297216392610134,-0.21082952277810635,0.08638686983202762,-0.0005497699505847716,-0.004463528042591463,0.148608196305067,0.4,0.026149511337280273,0.7298219203948975,GUIDED_NOGPS
