Mode,Time,Freq,North-Vision,East-Vision,Down-Vision,Yaw-Vision,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,northVraw,eastVraw,downVraw,N-Velocity,E-Velocity,D-Velocity,N-Acceleration,E-Acceleration,D-Acceleration,yawVraw,yawRate,Landing-State,Q-Size,N-diff,E-diff,D-diff,Y-diff
GUIDED_NOGPS,0.042433738708496094,23.607404780800252,0.12262860781708015,0.1077549000290903,0.5286982983205775,0.1181495604564134,0,0,0.5,0.8537860259694645,0.08184055393470926,76.12560018681032,0,0,0.0,0.5,0.0,0.0,0.0,0.4185072612017393,-0.21250983700156212,2.3695098236203194,-4.336417093873024,0.36665559746325016,29.67740297317505,0.0,-0.2508826399310738,False,0,0,0,0,0
GUIDED_NOGPS,0.07771086692810059,28.361162763964867,0.12431823070122365,0.10914152559509538,0.5669785774123455,0.12068762135800747,0,0,0.5,0.8537860259694645,0.08184055393470926,76.12560018681032,0,0,2.0928640278329307,0.5,0.0,0.0,0.0,-0.1279907301068306,-0.06693539908155799,1.9059514626860619,0.7382835261523724,-1.6294633969664574,24.24910068511963,0.0,0.0029657428428135836,False,0,0,0,0,0
GUIDED_NOGPS,0.11214423179626465,29.03838271946829,0.1235160605923464,0.10855709508607389,0.5940514966011304,0.12103158394522215,0,0,0.5,0.8545708573937812,0.0809756812310564,76.13498486672991,0,0,4.093032540812346,0.5,0.0,0.0,0.0,-0.1279907301068306,-0.06693539908155799,1.9059514626860619,0.7382835261523724,-1.6294633969664574,24.24910068511963,0.0,0.0029657428428135836,False,0,0,0,0,0
GUIDED_NOGPS,0.1695706844329834,17.416325479806996,0.11847565301542043,0.10930908185128103,0.620409127588472,0.12099789473688542,0,0,0.5,0.8544789700051034,0.08028545859891488,76.12731456429199,0,0,5.911915622135862,0.5,0.0,0.0,0.0,-0.43192156590521336,0.14746628003194928,2.3188844323158264,-1.7213588580489159,-1.2384599074721336,30.847209692001343,0.0,0.06037316265165341,False,0,0,0,0,0
GUIDED_NOGPS,0.1940925121307373,40.87059557218584,0.11507649354775763,0.10882684961866532,0.640712321707969,0.12074762183486068,0,0,0.5,0.8544789700051034,0.08028545859891488,76.12731456429199,0,0,7.468952709129846,0.5,0.0,0.0,0.0,-0.23816486354917288,0.03360361733939499,1.7221305519342422,1.8727563321590424,-1.6752658411860466,23.928971588611603,0.0,0.050217905325567545,False,0,0,0,0,0
GUIDED_NOGPS,0.21451997756958008,48.91715941826155,0.10925753429969473,0.10643497852498274,0.6333699844406018,0.11600980217668493,0,0,0.5,0.8549464644372791,0.08096079355309989,76.13604354605127,0,0,8.695180719384028,0.5,0.0,0.0,0.0,-0.08719003526493907,0.23148390464484692,2.25201528519392,-10.152654349803925,4.47511151432991,28.9476215839386,0.0,0.05254785694124146,False,0,0,0,0,0
GUIDED_NOGPS,0.2548494338989258,24.805597118643064,0.10603495803040898,0.10489652850081119,0.6410315240139287,0.11144487137869719,0,0,0.5,0.8556326316446009,0.08151670691851547,76.13883026323263,0,0,9.536288510260055,0.5,0.0,0.0,0.0,-0.055699050426483154,0.09968593949452043,2.018236182630062,-0.6871700752526522,2.1795032545924187,22.80053049325943,0.0,-0.1856710219641936,False,1,0,0,0,0
GUIDED_NOGPS,0.2837107181549072,34.66137776014809,0.10828813973634611,0.10622654006965948,0.6686552990364959,0.11201955514505098,0,0,0.5,0.8551225018909656,0.08073785190972245,76.12889233799027,0,0,9.95502238601579,0.5,0.0,0.0,0.0,0.2971997717395425,0.17861132510006428,2.219126373529434,8.168938010931015,-1.5447655692696571,24.87758845090866,0.0,0.1136435955771547,False,0,0,0,0,0
GUIDED_NOGPS,0.3261280059814453,23.581920713366056,0.10805458776814499,0.1071593838214228,0.6896452330900297,0.11420107100269716,0,0,0.5,0.8550934202261402,0.08075700845591022,76.14079052752443,0,0,9.932836109684285,0.5,0.0,0.0,0.0,0.12822638964280486,0.22282346617430449,2.298392355442047,-5.864094942808151,0.41593238711357117,24.51843172311783,0.0,0.356670930993332,False,1,0,0,0,0
GUIDED_NOGPS,0.3645002841949463,26.064690931462412,0.10259042181998766,0.10991908339547708,0.7122701584081668,0.11217949065113603,0,0,0.5,0.8554906917759116,0.08071170509180599,76.14050365957928,0,0,9.470712338657458,0.5,0.0,0.0,0.0,-0.3973342478275299,0.3561615478247404,2.1126169711351395,-8.13850313425064,2.5634124875068665,28.570890426635742,0.0,-0.08506699122432049,False,0,0,0,0,0
