Mode,Time,Freq,North-Vision,East-Vision,Down-Vision,Yaw-Vision,North-Desired,East-Desired,Down-Desired,Roll-UAV,Pitch-UAV,Yaw-UAV,Roll-Control,Pitch-Control,Yaw-Control,Thrust-Control,northVraw,eastVraw,downVraw,N-Velocity,E-Velocity,D-Velocity,N-Acceleration,E-Acceleration,D-Acceleration,yawVraw,yawRate,Landing-State,Q-Size
GUIDED_NOGPS,0.007030487060546875,142.5712634691866,-20.23063413199036,40.21923141429011,85.32042462729136,-3.653727669423722,-19.940743060418065,40.29618666849689,84.71246538035805,0.5147247100386005,-0.9002580994737024,2.806577663924307,0.6440771895404249,-3.585516809100761,-10.0,0.4987838004098637,-21.26888800910563,38.9155061159038,86.5948885032679,-10.117289423942566,0.23468583822250366,20.551377534866333,18.51155161857605,18.056024610996246,41.383421421051025,-3.87332890639081,-1.2509348457792606,False,1
GUIDED_NOGPS,0.05409097671508789,21.251185602529286,-20.751262608732304,40.1255182301493,86.54313340145225,-3.6924418075023273,-19.940604416655876,40.29618253757491,84.71221186392007,0.579299292803458,-0.8845725700447681,2.8667990149494864,0.08636892897863123,-0.84527253233711,-2.540421036031121,0.4963308956777741,-21.405090353344264,39.27152203235853,87.36046234087375,-9.744973480701447,1.6349678859114647,19.411487877368927,-33.51461589336395,39.75462317466736,-112.5624418258667,-3.8466886554711053,-2.039982631248052,False,1
GUIDED_NOGPS,0.06322360038757324,109.54617634768074,-20.8688823551342,40.13935621820551,86.73164051574304,-3.741760950457699,-19.939652666508575,40.29615417996585,84.71045770725394,0.590723424520539,-0.9413723164608884,2.877245148954786,-0.1512070534046273,-0.9830087729277085,-4.401078026049149,0.49594889362548,-21.405090353344264,39.27152203235853,87.36046234087375,-10.686045140028,2.3034144192934036,22.46413677930832,31.654298305511475,33.164218068122864,104.07116413116455,-3.8466886554711053,-2.8561385837589772,False,0
GUIDED_NOGPS,0.08651590347290039,42.94230749541838,-20.991694671043497,40.16359344106161,86.83884272749114,-3.8164487188857614,-19.937125706323243,40.296078888620514,84.70575815699802,0.590723424520539,-0.9413723164608884,2.877245148954786,-0.0892783382844671,-0.46722558350781157,-3.574076933665669,0.49572112026821463,-22.26716600494729,38.92362539882901,87.87376053877442,-11.687581986188889,4.091682657599449,21.954327821731567,53.61224412918091,41.764795780181885,-85.53647994995117,-3.8856884608445803,-5.216631683791285,False,0
GUIDED_NOGPS,0.10484099388122559,54.58277266634567,-21.188272616528607,40.17795229598094,87.17440821141632,-3.8974567614449787,-19.932315906569322,40.295935579558346,84.69672867226615,0.8168792055110063,-1.0311692403658692,2.9852652310087726,-0.10203840171082532,-0.8743998657476545,-4.099591337426232,0.495028283337542,-24.195640149834887,38.83534774882584,90.05867719263819,-7.895296066999435,4.79213185608387,22.26642817258835,43.37376058101654,42.48858094215393,55.56607246398926,-3.991675860713493,-5.8785901393736495,False,0
GUIDED_NOGPS,0.14750003814697266,23.444439475920046,-21.41841110334122,40.199229240108146,87.6077823316111,-3.9686588141637014,-19.924568830094554,40.295704753677654,84.68204409413069,0.878985315221139,-1.1890249439252072,3.072426342224363,-0.06189099533866436,-0.5225993536511182,-3.049985055488708,0.4941221983927636,-23.93423423901367,39.13100633267267,90.6114899383644,-8.808909356594086,5.04138208925724,21.30727469921112,114.05633687973022,40.38323163986206,52.31219530105591,-4.031750838441593,-5.1517850140375385,False,0
GUIDED_NOGPS,0.1732337474822998,38.86601740226285,-21.84869462489713,40.240019588973276,88.41982567336615,-4.068501888557749,-19.91328195038091,40.295368458565726,84.6604378151056,0.9943803473922995,-1.66306643258542,3.2256921586614524,-0.1966544945622561,-1.3625028615034278,-3.9897862769125014,0.4924471434346978,-24.11149994329277,39.46935323611753,90.92773065889088,-12.523479759693146,6.289595365524292,21.96040004491806,30.27430772781372,48.553666472435,40.47553539276123,-4.0671136835078165,-5.78487524820602,False,0
GUIDED_NOGPS,0.2079181671142578,28.834956929444036,-22.132081698681464,40.29275114627336,88.98748213471931,-4.152313654705615,-19.89790336980056,40.294910250309,84.6307009486296,0.9993021390195284,-2.0938026009170483,3.520541179847148,-0.15756448853219318,-0.7953836133552128,-3.4585503902717303,0.4912402752637978,-24.853589099379775,39.20923392488402,91.12259306010228,-7.390774786472321,7.359020411968231,22.66058474779129,49.952152371406555,53.59148979187012,131.90152645111084,-4.130727587674847,-5.4531359484262625,False,0
GUIDED_NOGPS,0.24129366874694824,29.965521429438954,-22.50619583156033,40.34940863239292,89.7020989824448,-4.224160772212461,-19.877930537871798,40.294315155303174,84.59168149854919,0.9062867019115907,-2.2055841962130076,3.6631290627339803,-0.19349443322754356,-1.051392993472939,-3.3948780546120747,0.4897193466339168,-25.339989607675477,39.15306578453162,92.29366229786646,-8.555082976818085,7.581230252981186,19.70183253288269,-7.761356234550476,37.0854914188385,-6.009374558925629,-4.322932080895221,-3.1115050561171795,False,0
GUIDED_NOGPS,0.2744438648223877,30.169856786287163,-22.819116518498944,40.43412562082973,90.35138339989366,-4.35080342752275,-19.852908969514996,40.2935696320634,84.54228352860181,0.7320607424590244,-2.2173244376226133,3.797204395480861,-0.2528489650643937,-0.9673416071875595,-4.1443812767929415,0.48830663420503206,-25.339989607675477,39.15306578453162,92.29366229786646,-5.657283589243889,9.369683265686035,18.57057362794876,-61.37796640396118,32.908567786216736,31.054183840751648,-4.322932080895221,-7.4236822362417305,False,0
